Price,Close,High,Low,Open,Volume
Ticker,PETR4.SA,PETR4.SA,PETR4.SA,PETR4.SA,PETR4.SA
Date,,,,,
2025-07-28,29.43381118774414,29.81069619471502,29.121272144895695,29.562503115989017,27972800
2025-07-29,29.819889068603516,29.966966069306416,29.406235661612662,29.590081035843212,33284000
2025-07-30,30.12323570251465,30.17839088972465,29.663619662207605,29.691195502516553,27110400
2025-07-31,30.003734588623047,30.10485067867486,29.80150240851942,29.829081755455803,23544900
2025-08-01,29.60846710205078,30.251930316891247,29.452199317645515,30.15081421799729,24191800
2025-08-04,29.562503814697266,29.6636199054487,29.378656695748482,29.608464717786426,15215600
2025-08-05,29.700389862060547,29.792311667717378,29.44300249435561,29.534927806604557,20635500
2025-08-06,29.737157821655273,30.279504915314092,29.5900808220152,29.966965852754903,32854600
2025-08-07,29.902618408203125,30.196772392960114,29.810696602938606,30.00373449794936,21111400
2025-08-08,28.064157485961914,29.46138898736639,28.064157485961914,28.95581201852021,107235300
2025-08-11,28.238811492919922,28.523774726597658,28.110119550804953,28.22961896086939,28045800
2025-08-12,28.312347412109375,28.744387612573107,28.174462950527868,28.303156634193854,37973300
2025-08-13,28.10092544555664,28.36750360020925,27.953848447574554,28.31234841099388,38340700
2025-08-14,27.7424259185791,28.24800288793422,27.595348918283207,28.24800288793422,43087500
2025-08-15,27.733232498168945,27.779193401802512,27.337962415054367,27.66888653176352,55416100
2025-08-18,27.907886505126953,28.08253933792421,27.595347457716215,27.806770415289346,31498100
2025-08-19,27.613733291625977,27.788386129302996,27.439078700652857,27.760810288246677,39294300
2025-08-20,27.779191970825195,27.907885650302795,27.66888510646839,27.687270168293193,23706600
2025-08-21,27.84354019165039,27.972232120163493,27.586154581328163,27.779192474097812,23327000
2025-08-22,28.644418716430664,28.644418716430664,28.014561047973388,28.099168928293892,49813600
2025-08-25,28.813636779785156,28.93584896915797,28.59741742082935,28.644421005620845,21075300
2025-08-26,28.6068172454834,28.74782978676352,28.418799328395405,28.653820828219523,21789700
2025-08-27,28.823036193847656,28.84183834390913,28.541011115212417,28.625618997417334,16349100
2025-08-28,29.076860427856445,29.264876553054226,28.8700403591456,28.93584788569017,25802500
2025-08-29,29.236677169799805,29.47169868757461,29.001655652025004,29.076862465990065,27713400
2025-09-01,29.302480697631836,29.49049861489845,29.18966958865752,29.33068392314335,9889700
2025-09-02,29.452896118164062,29.55630615830159,29.142667790823335,29.142667790823335,19812000
2025-09-03,29.19906997680664,29.471695771121478,29.06745851365973,29.255476426502494,29788800
2025-09-04,29.19906997680664,29.44349254627355,29.07685958860904,29.142665320182495,24816500
2025-09-05,28.757230758666992,29.227273756627458,28.381196718912967,29.21787268149964,46121900
2025-09-08,28.870040893554688,29.114463474600853,28.68202476487657,28.98285200521899,18164200
2025-09-09,29.09566307067871,29.283679199058255,28.964049808434062,29.01105518533279,31283900
2025-09-10,29.62211036682129,29.650313592604803,29.067459477914582,29.1050619858875,35949600
2025-09-11,29.50929832458496,29.59390620619104,29.396489011157996,29.424690442978882,17607900
2025-09-12,29.31188201904297,29.800727173585415,29.29307986854401,29.565705671563673,19318400
2025-09-15,29.565706253051758,29.659713421251947,29.1990714833982,29.424691914607884,21978400
2025-09-16,29.640913009643555,29.78192555475963,29.462296162858234,29.70671874449294,19154700
2025-09-17,29.81952667236328,29.885334197214732,29.575104102130176,29.650312701960402,29148100
2025-09-18,29.528100967407227,29.913536082014645,29.3212826939577,29.86653249948076,25702900
2025-09-19,29.19906997680664,29.565704727542858,29.05805743871042,29.54690257764424,48871300
2025-09-22,29.49049949645996,29.584506664831682,28.99225325595955,29.142666877040465,22016100
2025-09-23,29.988744735717773,30.167361587869525,29.575106370287557,29.60330959738684,39895300
2025-09-24,30.665605545043945,30.675008413661196,30.13915965907434,30.233166828385016,36414400
2025-09-25,30.421186447143555,30.834823035744837,30.308377120460268,30.7408158611994,29556300
2025-09-26,30.317773818969727,30.778417541719243,30.223766652438087,30.54339603924661,27819700
2025-09-29,29.904136657714844,30.590400834867413,29.828929845665883,30.3271743030883,35720000
2025-09-30,29.575105667114258,29.98874402270987,29.293080575114224,29.791326816924208,48611500
2025-10-01,29.49989891052246,29.659713607768296,29.424692099646293,29.565706438976942,24817000
2025-10-02,29.217872619628906,29.528100925903015,29.161467962053177,29.499897700579282,25497100
2025-10-03,29.142667770385742,29.45289609750891,29.142667770385742,29.29308139607747,19756800
2025-10-06,28.879440307617188,29.35888436673412,28.860639950981145,29.330682935244216,21245400
2025-10-07,28.982851028442383,29.011054253675905,28.531610183136415,28.879440995657866,29068800
2025-10-08,28.813636779785156,29.21787406405061,28.67262423233884,29.21787406405061,17687400
2025-10-09,28.39999771118164,28.992252905976095,28.381197353577328,28.823037136034824,22879700
2025-10-10,28.146175384521484,28.352993659327662,28.080369651313692,28.29658900130266,50214400
2025-10-13,28.418798446655273,28.456402746134835,28.174375879253194,28.34359164076784,13890500
2025-10-14,28.22138214111328,28.63501868996643,28.08976888186751,28.155576408026267,28138200
2025-10-15,27.967559814453125,28.362396024732984,27.892353002641336,28.24958491047938,40261000
2025-10-16,27.68553352355957,28.02396326557058,27.647929222740707,27.95815753220932,28660900
2025-10-17,27.94875717163086,28.15557724527932,27.553920968295927,27.732537815609106,36238600
2025-10-20,27.967559814453125,28.108572362466255,27.713736152186396,27.920556229472695,31442800
2025-10-21,27.7419376373291,28.193178479870134,27.704333337248155,28.164975254809423,25509900
2025-10-22,28.061569213867188,28.23078499134312,27.84534985067987,27.976961325129217,27088800
2025-10-23,28.381196975708008,28.87944141048834,28.30599016707673,28.691425285446016,40060800
2025-10-24,28.052165985107422,28.6256190107474,28.023962760002078,28.484604678292392,24370300
2025-10-27,28.202579498291016,28.352993112169496,27.91115334553542,28.352993112169496,24771400
2025-10-28,28.193180084228516,28.531611631928904,27.976960725674076,28.108572197303417,25324800
2025-10-29,28.22138214111328,28.352993607287306,28.01456207361496,28.287187874200292,24854900
2025-10-30,28.099170684814453,28.352994341642862,27.976960290640662,28.12737391104154,22657200
2025-10-31,27.967559814453125,28.28718921292119,27.779541888387733,28.20258132549895,29516300
2025-11-03,28.296588897705078,28.644419712836186,28.014562022469104,28.089768830584347,54977300
2025-11-04,28.43760108947754,28.447002164510437,28.11797171064594,28.202579592870286,35035200
