Date,Wilshire 5000,NASDAQ Composite
2021-07-30,52.5642,22.742653515624998
2021-08-02,52.4955908203125,22.755658984375
2021-08-03,52.8516640625,22.879999560546874
2021-08-04,52.6268884765625,22.909821923828122
2021-08-05,53.021531640625,23.087436181640623
2021-08-06,53.064854296875,22.99542763671875
2021-08-09,53.044059960937496,23.033278515625
2021-08-10,53.0667634765625,22.921539257812498
2021-08-11,53.1862466796875,22.885966455078123
2021-08-12,53.3211650390625,22.96520263671875
2021-08-13,53.335355859375,22.975495605468748
2021-08-16,53.3140359375,22.93032763671875
2021-08-17,52.8999775390625,22.717078515624998
2021-08-18,52.3899615234375,22.5151607421875
2021-08-19,52.3230009765625,22.539774560546874
2021-08-20,52.7949591796875,22.8077232421875
2021-08-23,53.33910234375,23.16110810546875
2021-08-24,53.547980078125,23.280689697265625
2021-08-25,53.688095898437496,23.314883544921873
2021-08-26,53.3378265625,23.166004833984374
2021-08-27,53.909583203125,23.450725
2021-08-30,54.103555859375,23.662128955078124
2021-08-31,54.026573242187496,23.651822363281248
2021-09-01,54.1013951171875,23.729538818359373
2021-09-02,54.28968515625,23.763328515625
2021-09-03,54.278009960937496,23.813455273437498
2021-09-07,54.0630048828125,23.83021162109375
2021-09-08,53.888020703125,23.694291455078123
2021-09-09,53.711244140625,23.634787499999998
2021-09-10,53.2961525390625,23.429009863281248
2021-09-13,53.3838759765625,23.413649121093748
2021-09-14,53.0245099609375,23.30852763671875
2021-09-15,53.4802333984375,23.500371923828123
2021-09-16,53.4649599609375,23.53197587890625
2021-09-17,53.065267578125,23.318153076171875
2021-09-20,52.099644921875,22.80654560546875
2021-09-21,52.1254166015625,22.856920605468748
2021-09-22,52.6351900390625,23.09011689453125
2021-09-23,53.2902408203125,23.330972363281248
2021-09-24,53.3154150390625,23.323935302734373
2021-09-27,53.2446900390625,23.203453076171876
2021-09-28,52.110893359375,22.547353515624998
2021-09-29,52.131903320312496,22.494282666015625
2021-09-30,51.5775359375,22.39529912109375
2021-10-01,52.167162499999996,22.578385302734375
2021-10-04,51.447779101562496,22.0959947265625
2021-10-05,51.955679296875,22.372436621093748
2021-10-06,52.1482009765625,22.4779607421875
2021-10-07,52.65323515625,22.7137302734375
2021-10-08,52.5027423828125,22.598287060546873
2021-10-11,52.140056640625,22.453610302734376
2021-10-12,52.1324333984375,22.42217587890625
2021-10-13,52.36065,22.586041455078124
2021-10-14,53.2113984375,22.976316015625
2021-10-15,53.529948437499996,23.0908767578125
2021-10-18,53.74738828125,23.283804833984373
2021-10-19,54.118955078125,23.4500892578125
2021-10-20,54.3208474609375,23.438603515624997
2021-10-21,54.5078841796875,23.584335302734374
2021-10-22,54.37413828125,23.389810302734375
2021-10-25,54.6802673828125,23.601400439453123
2021-10-26,54.6947142578125,23.615350439453124
2021-10-27,54.26438515625,23.6155517578125
2021-10-28,54.87528671875,23.944586181640624
2021-10-29,54.9643533203125,24.022503955078125
2021-11-01,55.24616171875,24.17367587890625
2021-11-02,55.3285798828125,24.25687939453125
2021-11-03,55.8001517578125,24.50794912109375
2021-11-04,55.97206328125,24.707479833984372
2021-11-05,56.1984650390625,24.7559642578125
2021-11-08,56.2944765625,24.772658544921875
2021-11-09,56.1058900390625,24.624137060546875
2021-11-10,55.508280859375,24.215200439453124
2021-11-11,55.612930859375,24.341634423828125
2021-11-12,56.0191099609375,24.584487939453123
2021-11-15,55.9854275390625,24.57346689453125
2021-11-16,56.2195783203125,24.759483544921874
2021-11-17,55.9793091796875,24.678433984374998
2021-11-18,56.0250666015625,24.790250439453125
2021-11-19,55.882641796875,24.889032666015623
2021-11-22,55.5478076171875,24.57487763671875
2021-11-23,55.5450673828125,24.451466455078123
2021-11-24,55.7377732421875,24.5601072265625
2021-11-26,54.484295703125,24.012073242187498
2021-11-29,55.06762421875,24.46338662109375
2021-11-30,53.97648984375,24.083420166015625
2021-12-01,53.101905859375,23.643777197265624
2021-12-02,53.9381041015625,23.841046484375
2021-12-03,53.3150916015625,23.382478076171875
2021-12-06,53.949869140625,23.59898310546875
2021-12-07,55.12339921875,24.31472587890625
2021-12-08,55.3742923828125,24.46983486328125
2021-12-09,54.7815392578125,24.051923681640623
2021-12-10,55.1563583984375,24.22742939453125
2021-12-13,54.611177539062496,23.890584423828123
2021-12-14,54.183179882812496,23.618341455078124
2021-12-15,55.04685234375,24.12664912109375
2021-12-16,54.42470234375,23.529666015625
2021-12-17,54.082568359374996,23.513003515624998
2021-12-20,53.4054474609375,23.220457666015623
2021-12-21,54.500916796874996,23.7786892578125
2021-12-22,55.0212109375,24.058928955078123
2021-12-23,55.396766796875,24.262723681640622
2021-12-27,56.08249921875,24.60045263671875
2021-12-28,55.9392658203125,24.461665576171875
2021-12-29,55.978792578125,24.437640576171873
2021-12-30,55.8991416015625,24.399417333984374
2021-12-31,55.730334179687496,24.249703076171873
2022-01-03,56.10776328125,24.540839697265625
2022-01-04,55.9598625,24.215215576171875
2022-01-05,54.6648142578125,23.40526337890625
2022-01-06,54.674207421874996,23.375333544921872
2022-01-07,54.41931171875,23.15064560546875
2022-01-10,54.3303708984375,23.16138662109375
2022-01-11,54.9134208984375,23.487847802734375
2022-01-12,54.9781083984375,23.542003955078123
2022-01-13,54.1415732421875,22.950554833984373
2022-01-14,54.1689576171875,23.0853125
2022-01-18,53.062266796875,22.48569560546875
2022-01-19,52.5241341796875,22.22740263671875
2022-01-20,51.91346171875,21.9387302734375
2022-01-21,50.8527798828125,21.34182587890625
2022-01-24,51.12344765625,21.475451318359376
2022-01-25,50.4195083984375,20.985899560546873
2022-01-26,50.250355078125,20.990286181640624
2022-01-27,49.841691796875,20.696809423828125
2022-01-28,51.060494140624996,21.344383984375
2022-01-31,52.2289390625,22.071813818359374
2022-02-01,52.678795703125,22.2363
2022-02-02,52.9517724609375,22.347202197265624
2022-02-03,51.6175658203125,21.512171484375
2022-02-04,52.0309234375,21.85191513671875
2022-02-07,51.9061259765625,21.724288378906248
2022-02-08,52.4078134765625,22.001397802734374
2022-02-09,53.2650216796875,22.460073681640623
2022-02-10,52.345942578125,21.987741455078122
2022-02-11,51.359345898437496,21.37628310546875
2022-02-14,51.1636033203125,21.375925878906248
2022-02-15,52.092596679687496,21.91662763671875
2022-02-16,52.0780150390625,21.8923392578125
2022-02-17,50.8894091796875,21.260915576171875
2022-02-18,50.4465423828125,20.999508984374998
2022-02-22,49.8576525390625,20.7413552734375
2022-02-23,48.885844140625,20.208109863281248
2022-02-24,49.7959208984375,20.8840642578125
2022-02-25,50.8991392578125,21.226661181640623
2022-02-28,50.898092578125,21.31467060546875
2022-03-01,50.10936328125,20.975312939453126
2022-03-02,51.02081015625,21.3156302734375
2022-03-03,50.59556171875,20.983807666015625
2022-03-04,50.066125976562496,20.635832666015624
2022-03-07,48.5164515625,19.887987939453126
2022-03-08,48.287844140625,19.833102197265625
2022-03-09,49.597604296875,20.546102197265625
2022-03-10,49.38547421875,20.351437939453124
2022-03-11,48.6514732421875,19.907904833984375
2022-03-14,48.1278099609375,19.500890576171873
2022-03-15,49.126517578125,20.070361181640624
