Date,PE_Ratio
2021-07-30,31.507729213726638
2021-08-02,31.575657417877544
2021-08-03,31.811349112352083
2021-08-04,31.83437674112771
2021-08-05,32.05800184994842
2021-08-06,31.868515851622288
2021-08-09,31.89613445452219
2021-08-10,31.73768165407255
2021-08-11,31.68066307632511
2021-08-12,32.0356248611021
2021-08-13,32.12820651072574
2021-08-16,32.16748700973493
2021-08-17,31.761189090057222
2021-08-18,31.449341739718907
2021-08-19,31.63887875077217
2021-08-20,32.10001453961002
2021-08-23,32.58207107845163
2021-08-24,32.63051260057195
2021-08-25,32.625724564144924
2021-08-26,32.448409035627655
2021-08-27,32.78593000057058
2021-08-30,33.38223297408283
2021-08-31,33.35335310712319
2021-09-01,33.427626385697984
2021-09-02,33.351885875798786
2021-09-03,33.473763664928185
2021-09-07,33.70626236576192
2021-09-08,33.61190324063506
2021-09-09,33.4099412926562
2021-09-10,33.00851454833421
2021-09-13,33.03843955161669
2021-09-14,33.03916172607237
2021-09-15,33.34667334198227
2021-09-16,33.34326501642184
2021-09-17,32.894409478968235
2021-09-20,32.0989232824954
2021-09-21,32.1789138301786
2021-09-22,32.46237852473288
2021-09-23,32.70201003901855
2021-09-24,32.85274931054841
2021-09-27,32.60635071183484
2021-09-28,31.647671716006666
2021-09-29,31.64904437936937
2021-09-30,31.458863947758633
2021-10-01,31.765954782658202
2021-10-04,31.025868335053058
2021-10-05,31.481495172815578
2021-10-06,31.773574567529888
2021-10-07,32.05691342826739
2021-10-08,31.972246593379076
2021-10-11,31.840330894140394
2021-10-12,31.74174899733288
2021-10-13,31.944296289263733
2021-10-14,32.497449670164166
2021-10-15,32.86617026065519
2021-10-18,33.34723590628976
2021-10-19,33.53426859362847
2021-10-20,33.46577926353619
2021-10-21,33.77171929288124
2021-10-22,33.4069941650727
2021-10-25,33.922061889052785
2021-10-26,34.15121174636644
2021-10-27,34.6096057747529
2021-10-28,35.144124471946995
2021-10-29,35.36201964258059
2021-11-01,35.53961390966748
2021-11-02,35.61996570561932
2021-11-03,36.10702565910493
2021-11-04,36.718488982591445
2021-11-05,36.82009058277965
2021-11-08,36.546766182243736
2021-11-09,36.0833445238815
2021-11-10,35.61844257694126
2021-11-11,35.684968856525614
2021-11-12,36.026302090296234
2021-11-15,35.99616485077678
2021-11-16,36.28002051116119
2021-11-17,36.47114822989375
2021-11-18,37.18790420890223
2021-11-19,37.63778390501646
2021-11-22,37.31447298456785
2021-11-23,37.05388877131571
2021-11-24,37.229942014040205
2021-11-26,36.26432753086266
2021-11-29,37.24375285361178
2021-11-30,36.97614232634406
2021-12-01,36.39041932573848
2021-12-02,36.390815130071736
2021-12-03,35.58473880322276
2021-12-06,35.94121725358772
2021-12-07,37.144704337559006
2021-12-08,37.396512758710855
2021-12-09,36.832763858323126
2021-12-10,37.41563853610798
2021-12-13,36.68960456102221
2021-12-14,36.203401572065886
2021-12-15,37.17448936923699
2021-12-16,35.904124780923176
2021-12-17,35.77671709222038
2021-12-20,35.32863146480308
2021-12-21,36.14234866931408
2021-12-22,36.806317511494136
2021-12-23,37.20590582134362
2021-12-27,37.89011640809945
2021-12-28,37.743661970195404
2021-12-29,37.67203200208543
2021-12-30,37.42214666943563
2021-12-31,37.109199726746915
2022-01-03,38.06577725154786
2022-01-04,37.40684429809564
2022-01-05,36.07416125340708
2022-01-06,35.84620711645889
2022-01-07,35.53999616890099
2022-01-10,35.66390822809192
2022-01-11,36.085016011003496
2022-01-12,36.394147059271546
2022-01-13,35.19869539099854
2022-01-14,35.54189609641854
2022-01-18,34.70736401445717
2022-01-19,34.23435853760234
2022-01-20,33.77972994108866
2022-01-21,32.766618850275194
2022-01-24,32.83753835947859
2022-01-25,32.090897504855654
2022-01-26,32.378069033586385
2022-01-27,31.889989920442392
2022-01-28,33.10747533008936
2022-01-31,34.268306317615945
2022-02-01,34.34597509828355
2022-02-02,34.69970030821149
2022-02-03,32.964622356339405
2022-02-04,33.87059172934228
2022-02-07,33.51717530591264
2022-02-08,33.959714556385805
2022-02-09,34.50871488994169
2022-02-10,33.668872935499955
2022-02-11,32.598559600503144
2022-02-14,32.76225876617561
2022-02-15,33.58506218362831
2022-02-16,33.604848684624095
2022-02-17,32.57674883635187
2022-02-18,32.16914749003995
2022-02-22,31.705969244067703
2022-02-23,30.70416532569298
2022-02-24,31.868740973694415
2022-02-25,32.295869472919954
2022-02-28,32.60567846865642
2022-03-01,32.14056563868193
2022-03-02,32.67114438446694
2022-03-03,32.13675838044876
2022-03-04,31.67763624749492
2022-03-07,30.440249911220704
2022-03-08,30.32578579563202
2022-03-09,31.49231588413711
2022-03-10,31.279647089010034
2022-03-11,30.557150905070497
2022-03-14,29.879169458082828
2022-03-15,30.990442976200125
2022-03-16,32.04916849780849
2022-03-17,32.46802445682667
2022-03-18,33.29373962514211
2022-03-21,33.37494571703556
2022-03-22,34.20298808244873
2022-03-23,33.910672163807234
2022-03-24,34.62202150452711
2022-03-25,34.65699441929218
2022-03-28,35.43979946116194
2022-03-29,35.8973978792008
2022-03-30,35.57033574930938
2022-03-31,34.97852864625457
2022-04-01,35.03912270674585
2022-04-04,35.96712394288353
2022-04-05,35.12567262088536
2022-04-06,34.07258497178731
2022-04-07,34.16165008227546
2022-04-08,33.5371473874124
2022-04-11,32.46779625355852
2022-04-12,32.43136896376146
2022-04-13,33.13024749955327
2022-04-14,32.20551242560327
2022-04-18,32.398578116269036
2022-04-19,33.08349315939665
2022-04-20,32.55955387263947
2022-04-21,32.04412514232861
2022-04-22,31.276503300853904
2022-04-25,31.63940499786452
2022-04-26,30.076222486806078
2022-04-27,30.177741320206376
2022-04-28,31.33261722644892
2022-04-29,29.70388777072275
2022-05-02,30.253295958485868
2022-05-03,30.31268686552384
2022-05-04,31.383616934061823
2022-05-05,29.54570759567929
2022-05-06,29.338999019837235
2022-05-09,28.036059669146614
2022-05-10,28.46927664341124
2022-05-11,27.27862497145186
2022-05-12,26.983555295246862
2022-05-13,28.02713567624007
2022-05-16,27.627462665305384
2022-05-17,28.412655087010474
2022-05-18,26.774871515494635
2022-05-19,26.447429930249317
2022-05-20,26.228322943438958
2022-05-23,26.816991503121788
2022-05-24,26.097550805307566
2022-05-25,26.49649617012665
2022-05-26,27.320718866137184
2022-05-27,28.3923705139243
2022-05-31,28.451044430522003
2022-06-01,28.351235684400162
2022-06-02,29.118602421109234
2022-06-03,28.09308139581113
2022-06-06,28.297065300679396
2022-06-07,28.501632792344473
2022-06-08,28.34850553146747
2022-06-09,27.566804878951885
2022-06-10,26.43012589083837
2022-06-13,25.168013960885563
2022-06-14,25.283425103023998
2022-06-15,26.098588067537694
2022-06-16,25.03165356993249
2022-06-17,25.34940171797565
2022-06-21,26.177138572923056
2022-06-22,26.09763714749925
2022-06-23,26.530869269257078
2022-06-24,27.48367601417725
2022-06-27,27.21374963984521
2022-06-28,26.205687296596448
2022-06-29,26.35981209035381
2022-06-30,25.92242338995487
2022-07-01,26.186485378401507
2022-07-05,26.773484335058047
2022-07-06,27.01085518986473
2022-07-07,27.641734086175358
2022-07-08,27.72282005297804
2022-07-11,26.995977993281123
2022-07-12,26.623431989126185
2022-07-13,26.63221802047711
2022-07-14,26.815781885781742
2022-07-15,27.226415383682383
2022-07-18,26.996967752932985
2022-07-19,27.80231624843991
2022-07-20,28.277307382535835
2022-07-21,28.870857921773048
2022-07-22,28.35466456894803
2022-07-25,28.11360697701066
2022-07-26,27.376750440628918
2022-07-27,28.798461283202183
2022-07-28,29.162611763339356
2022-07-29,30.19788362404719
2022-08-01,30.12250838271493
2022-08-02,29.970062218179873
2022-08-03,30.900582331528867
2022-08-04,31.076602780956794
2022-08-05,30.66369438373894
2022-08-08,30.480852474994464
2022-08-09,30.270871568459693
2022-08-10,31.200931441818422
2022-08-11,30.888558171083208
2022-08-12,31.625141597062406
2022-08-15,31.877560897626484
2022-08-16,31.845203684098056
2022-08-17,31.630658785098085
2022-08-18,31.689775187993554
2022-08-19,31.035435037821486
2022-08-22,30.174482521678932
2022-08-23,30.207754244581764
2022-08-24,30.2324929656567
2022-08-25,30.709576297584736
2022-08-26,29.418978706036512
2022-08-29,29.082813355744186
2022-08-30,28.71015312684831
2022-08-31,28.477955625952816
2022-09-01,28.507783356970744
2022-09-02,28.096395919567616
2022-09-06,27.923159599616003
2022-09-07,28.474687252191938
2022-09-08,28.52606337496433
2022-09-09,29.215290444181125
2022-09-12,29.751219327096916
2022-09-13,27.985041730173798
2022-09-14,28.264998610349167
2022-09-15,27.721816512568598
2022-09-16,27.522802457189172
2022-09-19,27.83913371732668
2022-09-20,27.71275417000076
2022-09-21,27.166637968982176
2022-09-22,26.9206362122453
2022-09-23,26.35859649571746
2022-09-26,26.356930528352507
2022-09-27,26.420365404711646
2022-09-28,26.786658184715872
2022-09-29,25.82630112465907
2022-09-30,25.3384286608183
2022-10-03,25.69092635578375
2022-10-04,26.50717157767196
2022-10-05,26.404826091788102
2022-10-06,26.22168711174552
2022-10-07,25.049613124932264
2022-10-10,24.831051921708774
2022-10-11,24.484828793420764
2022-10-12,24.50588530682107
2022-10-13,25.101566399609148
2022-10-14,24.161635519643372
2022-10-17,25.191583906001544
2022-10-18,25.41247556587278
2022-10-19,25.339667433670016
2022-10-20,25.11332193680731
2022-10-21,25.761982680302573
2022-10-24,26.065562369582842
2022-10-25,26.616164819241746
2022-10-26,25.633000590661847
2022-10-27,24.897740599157178
2022-10-28,25.61132164098348
2022-10-31,25.236929087631715
2022-11-01,24.762312605513785
2022-11-02,23.794074091599782
2022-11-03,23.17870056241266
2022-11-04,23.459725266624314
2022-11-07,23.615735638923862
2022-11-08,23.62433439789762
2022-11-09,22.90410434395179
2022-11-10,24.914407295776336
2022-11-11,25.458070172882284
2022-11-14,25.093142285437203
2022-11-15,25.392441335388163
2022-11-16,25.077560920140574
2022-11-17,25.028212604291504
2022-11-18,24.96541206043003
2022-11-21,24.565867863911024
2022-11-22,24.93016919507293
2022-11-23,25.316827909718498
2022-11-25,25.091362408062572
2022-11-28,24.693946211213557
2022-11-29,24.405933531300533
2022-11-30,25.75634038056007
2022-12-01,25.715203291590953
2022-12-02,25.611517058608595
2022-12-05,25.089717727485514
2022-12-06,24.484988311108076
2022-12-07,24.264318668745982
2022-12-08,24.57887142920279
2022-12-09,24.523284474684555
2022-12-12,24.790853153141136
2022-12-13,25.070764068877235
2022-12-14,24.847953264664827
2022-12-15,23.990304491539884
2022-12-16,23.669272477482686
2022-12-19,23.25460981011097
2022-12-20,23.15734098100367
2022-12-21,23.51904241511467
2022-12-22,22.795577791549757
2022-12-23,22.850054163126803
2022-12-27,22.340538523696416
2022-12-28,22.024037570825513
2022-12-29,22.69710433763071
2022-12-30,22.689708347685126
2023-01-03,22.342492007012606
2023-01-04,22.257235889017974
2023-01-05,21.804432935876587
2023-01-06,22.432249345723204
2023-01-09,22.68983591656235
2023-01-10,22.878411759169364
2023-01-11,23.48378198866365
2023-01-12,23.60638463247616
2023-01-13,23.814879676949424
2023-01-17,23.970581684133563
2023-01-18,23.681224056712963
2023-01-19,23.482439945622456
2023-01-20,24.24106323127619
2023-01-23,24.798495123256004
2023-01-24,24.787129645703782
2023-01-25,24.708549078594647
2023-01-26,25.402492598353756
2023-01-27,25.934066662524586
2023-01-30,25.275152888462994
2023-01-31,25.737416042558884
2023-02-01,26.297225529356005
2023-02-02,27.64264485843215
2023-02-03,27.19358181621917
2023-02-06,27.008363170404948
2023-02-07,27.659797347012365
2023-02-08,27.237671409142926
2023-02-09,27.01478741652465
2023-02-10,26.75268105901496
2023-02-13,27.22797532803441
2023-02-14,27.492034498250092
2023-02-15,27.689191337758558
2023-02-16,27.065745896367183
2023-02-17,26.885275593750798
2023-02-21,26.18036098068013
2023-02-22,26.2417387860634
2023-02-23,26.576033829039662
2023-02-24,26.046082126585716
2023-02-27,26.306903891479582
2023-02-28,26.275425554962172
2023-03-01,25.93366996319399
2023-03-02,26.05221746154818
2023-03-03,26.774466565379146
2023-03-06,26.867453731218976
2023-03-07,26.550381140507408
2023-03-08,26.63574708434169
2023-03-09,26.16894226650608
2023-03-10,25.821204546385196
2023-03-13,26.12798510761566
2023-03-14,26.864289455488613
2023-03-15,27.08722243266139
2023-03-16,27.93090882565348
2023-03-17,27.845174574301083
2023-03-20,27.85336358813896
2023-03-21,28.390715343015795
2023-03-22,28.069213123383467
2023-03-23,28.408179134794995
2023-03-24,28.50670080273016
2023-03-27,28.21973605139028
2023-03-28,28.038884942158813
2023-03-29,28.579571207964758
2023-03-30,28.87176167607723
2023-03-31,29.43618325292225
2023-04-03,29.30971591176633
2023-04-04,29.279439508761826
2023-04-05,28.862940611697077
2023-04-06,29.18773729851278
2023-04-10,29.015675646370312
2023-04-11,28.682318136702733
2023-04-12,28.421588033026897
2023-04-13,29.18858588602578
2023-04-14,29.115196735026135
2023-04-17,29.17181081054266
2023-04-18,29.199522612928817
2023-04-19,29.254637349075175
2023-04-20,28.850957003085885
2023-04-21,28.907432712517515
2023-04-24,28.788783282927373
2023-04-25,28.256549634193174
2023-04-26,28.739712908282034
2023-04-27,29.745112071738607
2023-04-28,29.844767004951514
2023-05-01,29.763452918226772
2023-05-02,29.5782921475175
2023-05-03,29.42389261568516
2023-05-04,29.32067025760134
2023-05-05,30.135185433548074
2023-05-08,30.184439647416102
2023-05-09,29.997876227686344
2023-05-10,30.437553908473145
2023-05-11,30.59554396013073
2023-05-12,30.400338158007823
2023-05-15,30.484338879963975
2023-05-16,30.678847314230783
2023-05-17,31.104872096239543
2023-05-18,31.675225291220713
2023-05-19,31.639907099193284
2023-05-22,31.748505391169225
2023-05-23,31.35312475567682
2023-05-24,31.303047846557135
2023-05-25,32.3567373836188
2023-05-26,33.26687127698665
2023-05-30,33.530147258856786
2023-05-31,33.2940902576902
2023-06-01,33.8555056922576
2023-06-02,34.13153123527612
2023-06-05,34.16052859483999
2023-06-06,34.127809605428055
2023-06-07,33.420409618964726
2023-06-08,33.967253977720056
2023-06-09,34.15399743835362
2023-06-12,34.81573653181898
2023-06-13,35.09285951689848
